x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G
7.812500000000e+01,2.578125000000e+01,0.000000000000e+00,9.2448915418212457e-02,9.0075010707227547e+13,4.2169790856784448e+11,9.0000000003112500e+13,1.8933769253280951e+11,8.9810662310579688e+13,-1.6256892595687219e+11,-8.1762602537308281e+04,1.0915582533346671e+00,2.3732284590924412e-04,6.1632006451175771e+12,4.5190031502385752e-01,-6.3965793831080953e-01,5.5120811943499062e-07,3.2818702289680399e-08,8.9998708711770609e+13,1.8933766912180801e+11,7.305757932978547e+02,2.458925609589842e+02,2.740544749414786e+00,4.538040985477642e-07,1.744534865422430e-10,4.538406045603145e-07,7.390092508863931e-05,1.780891994506767e-05,3.532488944799107e-22,1.280169472939144e-16,1.280173005428089e-16
7.500000000000e+01,2.750000000000e+01,0.000000000000e+00,9.2563462861266696e-02,9.0374742864900719e+13,4.2029857980257861e+11,9.0000000005983578e+13,2.2438289365468475e+10,8.9977561716618109e+13,-1.6248656578412537e+11,-8.2197290030872784e+04,1.0915583135145182e+00,2.3726266605795496e-04,6.1631952649670459e+12,4.5178579767072891e-01,-6.3977251584378947e-01,5.5931459105819283e-07,3.9884838455507728e-08,8.9998704385567859e+13,2.2438286600183182e+10,7.305781487888089e+02,2.458920188596851e+02,3.763015331498104e-01,4.940485111027023e-07,1.536727804121626e-10,4.940827738070122e-07,7.970003634320721e-05,1.578601056205160e-05,2.760715405602679e-22,1.494913377951630e-16,1.494916138667036e-16
7.500000000000e+01,2.921875000000e+01,0.000000000000e+00,9.2578289522852061e-02,9.0413648497990625e+13,4.2011780269154126e+11,9.0000000011436422e+13,2.3173120296370606e+09,8.9997682699406781e+13,-1.5809850950952039e+11,-8.0037716757277143e+04,1.0915583207751229e+00,2.3725540545335870e-04,6.1631946158606484e+12,4.5177097463944582e-01,-6.3978734613567712e-01,5.4674759476525938e-07,4.1180996170411821e-08,8.9998703829380953e+13,2.3173117441744833e+09,7.305784331520056e+02,2.458919451427476e+02,4.831777205645527e-02,4.712146954854413e-07,1.373117807197919e-10,4.712370299247271e-07,7.590706901530021e-05,1.411178979155213e-05,2.203603114705832e-22,1.355791550156567e-16,1.355793753759681e-16
7.812500000000e+01,2.750000000000e+01,0.000000000000e+00,9.2563444824824384e-02,9.0374743224401438e+13,4.2029873808725739e+11,9.0000000005983578e+13,2.2438289365468475e+10,8.9977561716618109e+13,-1.5838297081781744e+11,-8.0121400135725751e+04,1.0915583135145182e+00,2.3726266605795496e-04,6.1631952649670459e+12,4.5178581570717125e-01,-6.3977249780734713e-01,5.4114103345591705e-07,3.4829561488831234e-08,8.9998704385562703e+13,2.2438286600182140e+10,7.305781487862504e+02,2.458920188585892e+02,3.763168202631671e-01,4.334779827533428e-07,1.571642016302871e-10,4.334987729765361e-07,7.012020419320138e-05,1.612341403034349e-05,2.872146987520789e-22,1.159181869604624e-16,1.159184741751612e-16
7.812500000000e+01,2.921875000000e+01,0.000000000000e+00,9.2578274765095267e-02,9.0413651696609906e+13,4.2011792728920642e+11,9.0000000011436422e+13,2.3173120296370606e+09,8.9997682699406781e+13,-1.5452035117436948e+11,-7.8226271483452772e+04,1.0915583207751229e+00,2.3725540545335870e-04,6.1631946158606484e+12,4.5177098939720262e-01,-6.3978733137792032e-01,5.3077039455798553e-07,3.6646079234624492e-08,8.9998703829335094e+13,2.3173117441743984e+09,7.305784331501249e+02,2.458919451330663e+02,4.835521127885428e-02,4.169373490928018e-07,1.419553586989137e-10,4.169452554437441e-07,6.734355158099875e-05,1.457171076723559e-05,2.342554593599477e-22,1.068455016337818e-16,1.068457358892411e-16
5.625000000000e+01,3.093750000000e+01,0.000000000000e+00,9.2580129483421966e-02,9.0418344355219625e+13,4.2009565116983453e+11,9.0000000021731828e+13,2.0855537887675458e+08,8.9999791466352953e+13,-1.6639258998026529e+11,-8.4244260694970100e+04,1.0915583215361273e+00,2.3725464444900271e-04,6.1631945478259814e+12,4.5176913505937810e-01,-6.3978918647674921e-01,5.9612281825052998e-07,6.4012375277538221e-08,8.9998703771948672e+13,2.0855535318680221e+08,7.305784630334870e+02,2.458919355479737e+02,3.702078899300965e-03,5.855820984883670e-07,8.421639752428434e-11,5.856565809953379e-07,9.422252209660277e-05,8.748352053763601e-06,8.640004514803052e-23,2.081290655590699e-16,2.081291519591150e-16
5.937500000000e+01,3.093750000000e+01,0.000000000000e+00,9.2580141598641835e-02,9.0418390826287766e+13,4.2009547545679828e+11,9.0000000021731828e+13,2.0855537887675458e+08,8.9999791466352953e+13,-1.6536115322123627e+11,-8.3722121344963583e+04,1.0915583215361273e+00,2.3725464444900271e-04,6.1631945478259814e+12,4.5176912294415827e-01,-6.3978919859196903e-01,5.9052230582540017e-07,6.1710137181953274e-08,8.9998703771282469e+13,2.0855535318681297e+08,7.305784630381818e+02,2.458919354075011e+02,2.975839504460035e-03,4.673024804421747e-07,9.122787195284514e-11,4.673689100953756e-07,9.287342237356180e-05,8.784511030834461e-06,8.710650823749716e-23,2.021737376532614e-16,2.021738247597697e-16
6.250000000000e+01,3.093750000000e+01,0.000000000000e+00,9.2580116415835093e-02,9.0418344416244719e+13,4.2009574601772339e+11,9.0000000021731828e+13,2.0855537887675458e+08,8.9999791466352953e+13,-1.6395175992369785e+11,-8.3008473333285510e+04,1.0915583215361273e+00,2.3725464444900271e-04,6.1631945478259814e+12,4.5176914812696500e-01,-6.3978917340916230e-01,5.8303196733309548e-07,5.8727165043773958e-08,8.9998703771947797e+13,2.0855535318679643e+08,7.305784630316793e+02,2.458919355477567e+02,3.707963914646335e-03,5.630538486975191e-07,9.617274880836172e-11,5.631135412603062e-07,9.084121492463181e-05,1.004544568660537e-05,1.123337238067512e-22,1.935688439173130e-16,1.935689562510368e-16
6.562500000000e+01,3.093750000000e+01,0.000000000000e+00,9.2580124185461549e-02,9.0418390957094891e+13,4.2009560627498022e+11,9.0000000021731828e+13,2.0855537887675458e+08,8.9999791466352953e+13,-1.6198909795928391e+11,-8.2014855063842406e+04,1.0915583215361273e+00,2.3725464444900271e-04,6.1631945478259814e+12,4.5176914035733856e-01,-6.3978918117878880e-01,5.7305925913765914e-07,5.5030740784753601e-08,8.9998703771280594e+13,2.0855535318680495e+08,7.305784630357361e+02,2.458919354070787e+02,2.985233575871906e-03,4.601076494312908e-07,1.170957098525234e-10,4.601744453520482e-07,8.780852361726865e-05,9.840293280831799e-06,1.093005443237543e-22,1.809432476692349e-16,1.809433569697792e-16
6.875000000000e+01,3.093750000000e+01,0.000000000000e+00,9.2580094878025279e-02,9.0418344617699500e+13,4.2009591367746338e+11,9.0000000021731828e+13,2.0855537887675458e+08,8.9999791466352953e+13,-1.5962602270951834e+11,-8.0818361375148917e+04,1.0915583215361273e+00,2.3725464444900271e-04,6.1631945478259814e+12,4.5176916966477482e-01,-6.3978915187135255e-01,5.6141735879340973e-07,5.0946022148070768e-08,8.9998703771944906e+13,2.0855535318678617e+08,7.305784630284631e+02,2.458919355471088e+02,3.720605528987004e-03,5.247128574563718e-07,1.111793246132640e-10,5.247530800085337e-07,8.496341360603486e-05,1.154223059504671e-05,1.465023813490017e-22,1.692169564175742e-16,1.692171029199555e-16
7.187500000000e+01,3.093750000000e+01,0.000000000000e+00,9.2580099384148823e-02,9.0418391157095625e+13,4.2009580629689221e+11,9.0000000021731828e+13,2.0855537887675458e+08,8.9999791466352953e+13,-1.5683320258466318e+11,-7.9404433287717780e+04,1.0915583215361273e+00,2.3725464444900271e-04,6.1631945478259814e+12,4.5176916515865129e-01,-6.3978915637747602e-01,5.4818170206079580e-07,4.6641451736256518e-08,8.9998703771277719e+13,2.0855535318679273e+08,7.305784630322232e+02,2.458919354064444e+02,3.000564873365149e-03,4.301547754348058e-07,1.302812004948084e-10,4.302146428596629e-07,7.812641552742223e-05,1.098571482713878e-05,1.356307109857947e-22,1.437029694630065e-16,1.437031050937175e-16
7.500000000000e+01,3.093750000000e+01,0.000000000000e+00,9.2580067746437011e-02,9.0418344809709188e+13,4.2009613953212030e+11,9.0000000021731828e+13,2.0855537887675458e+08,8.9999791466352953e+13,-1.5380827816244049e+11,-7.7872848950007057e+04,1.0915583215361273e+00,2.3725464444900271e-04,6.1631945478259814e+12,4.5176919679636307e-01,-6.3978912473976424e-01,5.3421257242174721e-07,4.2346049429790519e-08,8.9998703771942156e+13,2.0855535318677235e+08,7.305784630245460e+02,2.458919355465029e+02,3.737388561154951e-03,4.523449462178389e-07,1.214161904751756e-10,4.523600291648212e-07,7.357731386878435e-05,1.249592138483155e-05,1.715087047331839e-22,1.268725321728202e-16,1.268727036815249e-16
7.812500000000e+01,3.093750000000e+01,0.000000000000e+00,9.2580071447977891e-02,9.0418391395853141e+13,4.2009604508163367e+11,9.0000000021731828e+13,2.0855537887675458e+08,8.9999791466352953e+13,-1.5067813148561075e+11,-7.6288130327338236e+04,1.0915583215361273e+00,2.3725464444900271e-04,6.1631945478259814e+12,4.5176919309482222e-01,-6.3978912844130509e-01,5.2015451182662069e-07,3.8297828347760680e-08,8.9998703771274297e+13,2.0855535318677813e+08,7.305784630282756e+02,2.458919354056943e+02,3.019579581156109e-03,3.695310951140965e-07,1.301545232786643e-10,3.695739155652787e-07,6.407381772396997e-05,1.206208123582828e-05,1.620362588773144e-22,9.696948904431156e-17,9.696965108057044e-17
